ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2021-11-23,64.67742166648482,61.18663648240901,67.89926842706792,64.67742166648482,64.67742166648482,0.0,0.0,0.0,0.0,0.0,0.0,64.67742166648482
2021-11-24,64.62975540251458,61.333404447015845,67.82581911660222,64.62975540251458,64.62975540251458,0.0,0.0,0.0,0.0,0.0,0.0,64.62975540251458
2021-11-25,64.58208913854433,61.326855051920774,67.95168884001168,64.58208913854433,64.58208913854433,0.0,0.0,0.0,0.0,0.0,0.0,64.58208913854433
2021-11-26,64.5344228738826,61.20881964042444,67.72467805301027,64.5344228738826,64.5344228738826,0.0,0.0,0.0,0.0,0.0,0.0,64.5344228738826
2021-11-27,64.48675660922088,61.31131965724568,67.88863931657622,64.48675660922088,64.48675660922088,0.0,0.0,0.0,0.0,0.0,0.0,64.48675660922088
2021-11-28,64.4390903432661,61.047389607006906,67.67582633194496,64.4390903432661,64.4390903432661,0.0,0.0,0.0,0.0,0.0,0.0,64.4390903432661
2021-11-29,64.39142407731133,61.31459298747612,67.78794956375218,64.39142407731133,64.39142407731133,0.0,0.0,0.0,0.0,0.0,0.0,64.39142407731133
2021-11-30,64.34375781236332,60.793917675512375,67.45749079630387,64.34375781236332,64.34375781236332,0.0,0.0,0.0,0.0,0.0,0.0,64.34375781236332
2021-12-01,64.29609154741532,60.775828372094686,67.64686770504753,64.29609154741532,64.29609154741532,0.0,0.0,0.0,0.0,0.0,0.0,64.29609154741532
2021-12-02,64.2484252809704,60.85028797064075,67.5432980546415,64.2484252809704,64.2484252809704,0.0,0.0,0.0,0.0,0.0,0.0,64.2484252809704
2021-12-03,64.20075901257887,61.00645158358532,67.40206548376364,64.20075901257887,64.20075901257887,0.0,0.0,0.0,0.0,0.0,0.0,64.20075901257887
2021-12-04,64.15309274418735,60.58414179427846,67.53271647672187,64.15309274418735,64.15309274418735,0.0,0.0,0.0,0.0,0.0,0.0,64.15309274418735
2021-12-05,64.10542647729419,61.03441057729464,67.27327635665034,64.10542647729419,64.10542647729419,0.0,0.0,0.0,0.0,0.0,0.0,64.10542647729419
2021-12-06,64.05776021040103,60.79776882982311,67.45395282505677,64.05776021040103,64.05776021040103,0.0,0.0,0.0,0.0,0.0,0.0,64.05776021040103
2021-12-07,64.01009394406339,60.56605490967254,67.70614593991677,64.01009394406339,64.01009394406339,0.0,0.0,0.0,0.0,0.0,0.0,64.01009394406339
2021-12-08,63.96242767772574,60.72320703061626,67.31638555497659,63.96242767772574,63.96242767772574,0.0,0.0,0.0,0.0,0.0,0.0,63.96242767772574
2021-12-09,63.91476141231415,60.551278183174276,67.19772606786637,63.91476141231415,63.91476141231415,0.0,0.0,0.0,0.0,0.0,0.0,63.91476141231415
2021-12-10,63.86709514690255,60.51533853927485,67.28292937343038,63.86709514690255,63.86709514690255,0.0,0.0,0.0,0.0,0.0,0.0,63.86709514690255
2021-12-11,63.81942888218898,60.522701780843235,67.08441966903735,63.81942888218898,63.81942888218898,0.0,0.0,0.0,0.0,0.0,0.0,63.81942888218898
2021-12-12,63.77176261747541,60.4273171994442,67.190821202383,63.77176261747541,63.77176261747541,0.0,0.0,0.0,0.0,0.0,0.0,63.77176261747541
2021-12-13,63.724096353769546,60.38960622586658,67.01569724953657,63.724096353769546,63.724096353769546,0.0,0.0,0.0,0.0,0.0,0.0,63.724096353769546
2021-12-14,63.67643009006369,60.424624695120094,67.16811793104581,63.67643009006369,63.67643009006369,0.0,0.0,0.0,0.0,0.0,0.0,63.67643009006369
2021-12-15,63.628763825150095,60.272671953378406,66.87102345519922,63.628763825150095,63.628763825150095,0.0,0.0,0.0,0.0,0.0,0.0,63.628763825150095
2021-12-16,63.5810975602365,60.326914635768766,66.94196918199248,63.5810975602365,63.5810975602365,0.0,0.0,0.0,0.0,0.0,0.0,63.5810975602365
2021-12-17,63.53333753180057,60.19432342206743,67.01329955630021,63.53333753180057,63.53333753180057,0.0,0.0,0.0,0.0,0.0,0.0,63.53333753180057
2021-12-18,63.48557750358655,59.865999860418555,66.57517701294881,63.48557750358655,63.48557750358655,0.0,0.0,0.0,0.0,0.0,0.0,63.48557750358655
2021-12-19,63.43781747537251,59.773876976128896,66.81536632133695,63.43781747537251,63.43781747537251,0.0,0.0,0.0,0.0,0.0,0.0,63.43781747537251
2021-12-20,63.390057448085315,59.997975951641266,66.8720030069812,63.390057448085315,63.390057448085315,0.0,0.0,0.0,0.0,0.0,0.0,63.390057448085315
2021-12-21,63.342297420798104,59.80687368337329,66.731208254902,63.342297420798104,63.342297420798104,0.0,0.0,0.0,0.0,0.0,0.0,63.342297420798104
2021-12-22,63.29453739499309,59.864180061738516,66.50295111897346,63.29453739499309,63.29453739499309,0.0,0.0,0.0,0.0,0.0,0.0,63.29453739499309
2021-12-23,63.24677736918808,59.886180607275826,66.47462625236655,63.24677736918808,63.24677736918808,0.0,0.0,0.0,0.0,0.0,0.0,63.24677736918808
2021-12-24,63.199017342537175,60.095068738013396,66.51554851299157,63.199017342537175,63.199017342537175,0.0,0.0,0.0,0.0,0.0,0.0,63.199017342537175
2021-12-25,63.15125731588627,59.458444907484854,66.23218049734392,63.15125731588627,63.15125731588627,0.0,0.0,0.0,0.0,0.0,0.0,63.15125731588627
2021-12-26,63.1034972910601,59.50631234567418,66.44478235946987,63.1034972910601,63.1034972910601,0.0,0.0,0.0,0.0,0.0,0.0,63.1034972910601
