ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2021-10-24,0.19603974599999935,0.1288585735345983,0.2805875602050856,0.19603974599999935,0.19603974599999935,0.008283988776643157,0.008283988776643157,0.008283988776643157,0.008283988776643157,0.008283988776643157,0.008283988776643157,0.0,0.0,0.0,0.2043237347766425
2021-10-25,0.20109562705617912,0.13378376799931735,0.2976995463202061,0.20109562705617912,0.20109562705617912,0.010807551048019578,0.010807551048019578,0.010807551048019578,0.010807551048019578,0.010807551048019578,0.010807551048019578,0.0,0.0,0.0,0.2119031781041987
2021-10-26,0.20615150811235888,0.1233665449314131,0.28563857617148,0.20615150811235888,0.20615150811235888,-0.0020530404648841823,-0.0020530404648841823,-0.0020530404648841823,-0.0020530404648841823,-0.0020530404648841823,-0.0020530404648841823,0.0,0.0,0.0,0.2040984676474747
2021-10-27,0.21120738916853862,0.1387320941091703,0.2932650851377696,0.21120738916853862,0.21120738916853862,0.0017533407353911516,0.0017533407353911516,0.0017533407353911516,0.0017533407353911516,0.0017533407353911516,0.0017533407353911516,0.0,0.0,0.0,0.21296072990392978
2021-10-28,0.21626327021847738,0.12814369442843954,0.3037470707975662,0.21626327021847738,0.21626327021847738,0.00043224979503400093,0.00043224979503400093,0.00043224979503400093,0.00043224979503400093,0.00043224979503400093,0.00043224979503400093,0.0,0.0,0.0,0.2166955200135114
2021-10-29,0.22131915126841617,0.10648323670159385,0.26856437249075876,0.22131915126841617,0.22131915126841617,-0.031657890053917746,-0.031657890053917746,-0.031657890053917746,-0.031657890053917746,-0.031657890053917746,-0.031657890053917746,0.0,0.0,0.0,0.18966126121449842
2021-10-30,0.22637503231835496,0.15756939971994346,0.3194234747765898,0.22637503231835496,0.22637503231835496,0.012433800163752236,0.012433800163752236,0.012433800163752236,0.012433800163752236,0.012433800163752236,0.012433800163752236,0.0,0.0,0.0,0.2388088324821072
2021-10-31,0.23143091337273713,0.15745258671852055,0.31807098858373695,0.23143091337273713,0.23143091337273713,0.008283988776606405,0.008283988776606405,0.008283988776606405,0.008283988776606405,0.008283988776606405,0.008283988776606405,0.0,0.0,0.0,0.23971490214934355
2021-11-01,0.23648679442711937,0.1661537529366688,0.3267979283486462,0.23648679442711937,0.23648679442711937,0.010807551047990555,0.010807551047990555,0.010807551047990555,0.010807551047990555,0.010807551047990555,0.010807551047990555,0.0,0.0,0.0,0.24729434547510992
2021-11-02,0.24154267548150155,0.1533107113670724,0.3184710172178252,0.24154267548150155,0.24154267548150155,-0.002053040464945078,-0.002053040464945078,-0.002053040464945078,-0.002053040464945078,-0.002053040464945078,-0.002053040464945078,0.0,0.0,0.0,0.23948963501655646
2021-11-03,0.24659855653248625,0.17072803603779524,0.3304815847071231,0.24659855653248625,0.24659855653248625,0.0017533407353725531,0.0017533407353725531,0.0017533407353725531,0.0017533407353725531,0.0017533407353725531,0.0017533407353725531,0.0,0.0,0.0,0.2483518972678588
2021-11-04,0.251654437583471,0.16532325384661048,0.33955286644013294,0.251654437583471,0.251654437583471,0.00043224979512128267,0.00043224979512128267,0.00043224979512128267,0.00043224979512128267,0.00043224979512128267,0.00043224979512128267,0.0,0.0,0.0,0.2520866873785923
2021-11-05,0.25671031863475213,0.14692119463377254,0.3062259875481017,0.25671031863475213,0.25671031863475213,-0.03165789005392015,-0.03165789005392015,-0.03165789005392015,-0.03165789005392015,-0.03165789005392015,-0.03165789005392015,0.0,0.0,0.0,0.225052428580832
2021-11-06,0.26176619968603326,0.1911665920901112,0.3588583034746817,0.26176619968603326,0.26176619968603326,0.012433800163759792,0.012433800163759792,0.012433800163759792,0.012433800163759792,0.012433800163759792,0.012433800163759792,0.0,0.0,0.0,0.27419999984979304
2021-11-07,0.26682208073731434,0.1935204079031595,0.35700181429162997,0.26682208073731434,0.26682208073731434,0.008283988776569657,0.008283988776569657,0.008283988776569657,0.008283988776569657,0.008283988776569657,0.008283988776569657,0.0,0.0,0.0,0.275106069513884
2021-11-08,0.2718779617929901,0.20166470730978436,0.36638372268818215,0.2718779617929901,0.2718779617929901,0.010807551048034606,0.010807551048034606,0.010807551048034606,0.010807551048034606,0.010807551048034606,0.010807551048034606,0.0,0.0,0.0,0.2826855128410247
2021-11-09,0.27693384284866585,0.19559748609530472,0.35886860516998775,0.27693384284866585,0.27693384284866585,-0.0020530404649212073,-0.0020530404649212073,-0.0020530404649212073,-0.0020530404649212073,-0.0020530404649212073,-0.0020530404649212073,0.0,0.0,0.0,0.2748808023837446
2021-11-10,0.2819897239043416,0.20290493998373996,0.37029459251418645,0.2819897239043416,0.2819897239043416,0.0017533407354361717,0.0017533407354361717,0.0017533407354361717,0.0017533407354361717,0.0017533407354361717,0.0017533407354361717,0.0,0.0,0.0,0.2837430646397778
2021-11-11,0.2870453926485966,0.2090221386084681,0.3692735283967524,0.2870453926485966,0.2870453926485966,0.0004322497950594743,0.0004322497950594743,0.0004322497950594743,0.0004322497950594743,0.0004322497950594743,0.0004322497950594743,0.0,0.0,0.0,0.28747764244365603
2021-11-12,0.2921010613928516,0.18401382665735816,0.34077707951094516,0.2921010613928516,0.2921010613928516,-0.031657890053922555,-0.031657890053922555,-0.031657890053922555,-0.031657890053922555,-0.031657890053922555,-0.031657890053922555,0.0,0.0,0.0,0.260443171338929
